Time,Tweets,All_hashtags,Place
2020-06-30 19:34:04,"b""COVAXIN\xe2\x84\xa2, India's 1st indigenous Covid-19 vaccine, developed by Bharat Biotech successfully enters human trials.  @ICMRDELHI @DBTIndia @icmr_niv #BharatBiotech #COVAXIN #covid19 #Collaboration #Indiafightscorona #makeinindia #ICMR #coronavirusvaccine https://t.co/VPeHL0jCnq""","['BharatBiotech', 'COVAXIN', 'covid19', 'Collaboration', 'Indiafightscorona', 'makeinindia', 'ICMR', 'coronavirusvaccine']",
2020-06-30 19:30:00,"b""COVAXIN, India's first COVID-19 vaccine candidate, set for Phase I, II human trials https://t.co/6RoasGajZl https://t.co/u2dEF09ZQa""",[],
2020-06-30 19:29:14,"b""India's first COVID-19 vaccine candidate 'COVAXIN' approved for human trials  https://t.co/VRNxeFkhTa -via @inshorts""",[],
2020-06-30 19:08:17,"b""COVAXIN, India's First COVID-19 Vaccine Candidate, Set For Phase I, II Human Trials - NDTV https://t.co/ePdLLcUrEg""",[],
2020-06-30 19:05:33,"b'via @PerilofAfrica India Launches Human Trials for Its First COVID-19 Vaccine: Developed by Biotechnology Company Bharat Biotech, the vaccine which is India\xe2\x80\x99s first indigenous experimental vaccine against the viral respiratory infection will be tested at\xe2\x80\xa6 https://t.co/sBFv5VYBZN'",[],
2020-06-30 19:03:49,b'India will start 1st time COVID-19 vaccine trial. Proud to be an Indian. Approved by ICMR. It is trial only.@Gani4497 @KSOMESWARRAO2 @JabivullaB https://t.co/XepwajTgIO',[],
2020-06-30 18:55:59,"b'First COVID-19 vaccine candidate COVAXIN from India, gets DCGI approval for human trials https://t.co/b9yAOVXdzE'",[],
2020-06-30 18:52:08,"b""The world has failed to find out vaccine for Covid 19 but in the midst of incursion by China, a good news came India has found out vaccine and it's experiment on humans will start in July and in case of success it will first be given to Corona Warriors. #\xe0\xa4\x9d\xe0\xa5\x82\xe0\xa4\xa0\xe0\xa4\xbe_\xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\xa6\xe0\xa5\x80""",['झूठा_मोदी'],
2020-06-30 18:50:29,"b""#Coronavirus vaccine update: Bharat Biotech's starts clinical trials, #Chinesevaccine Sinovac wins military approval and more updates about COVID-19 | The Times of India https://t.co/2eG9iCB295 #coronavirus #CoronaVaccine #COVID19""","['Coronavirus', 'Chinesevaccine', 'coronavirus', 'CoronaVaccine', 'COVID19']",
2020-06-30 18:45:22,"b""India's #COVID19 vaccine candidate Covaxin: What is #Covaxin and how was it developed? | Bharat Biotech Coronavirus Vaccine https://t.co/PFxSfNAorJ #coronavirus #CoronaUpdates #MadeInIndia""","['COVID19', 'Covaxin', 'coronavirus', 'CoronaUpdates', 'MadeInIndia']",
2020-06-30 18:43:41,"b""Coronavirus vaccine update: Bharat Biotech's starts clinical trials, Chinese vaccine Sinovac wins military approval and more updates about COVID-19 | The Times of India https://t.co/q7qgxI7sdR""",[],
2020-06-30 18:43:00,"b'#coronavirus vaccine update: #BharatBiotech  starts clinical trials, Chinese vaccine Sinovac wins military approval and more updates about #COVID19 The Times of India @TimesIndia  https://t.co/dZRivf1UNr'","['coronavirus', 'BharatBiotech', 'COVID19']",
2020-06-30 18:32:11,"b'Good News - \xe2\x80\x9cIndia\xe2\x80\x99s 1st COVID-19 Vaccine \xe2\x80\x93 COVAXIN\xe2\x84\xa2, Developed by Bharat Biotech gets DCGI approval for Phase I &amp; II Human Clinical Trials\xe2\x80\x9d https://t.co/SrYzwcWKHX'",[],
2020-06-30 18:30:02,"b""India's first COVID-19 vaccine COVAXIN: Here is everything you want to know https://t.co/gNawM9ePTL""",[],
2020-06-30 18:26:15,"b""#COVAXIN  India's indigenous #COVID19 vaccine, developed by #BharatBiotech successfully enters human trials. Let\xe2\x80\x99s hope we will get good results.  #Coronavirus #Covid  https://t.co/WJnxpRYr0a""","['COVAXIN', 'COVID19', 'BharatBiotech', 'Coronavirus', 'Covid']",
2020-06-30 18:22:05,"b""India's 1st COVID-19 Vaccine Set for Human Trials - Guwahati Plus: India's 1st COVID-19 Vaccine Set for Human Trials\xc2\xa0\xc2\xa0Guwahati Plus https://t.co/TMvy3fEbPP https://t.co/gVJrBJ2fWp""",[],
2020-06-30 18:20:18,"b""Covaxin: India's first coronavirus vaccine by Hyderabad's Bharat Biotech gets DCGI clearance for human trials | via @IndiaTVNews https://t.co/U5hxpTCqIv""",[],
2020-06-30 18:18:20,b'India\xe2\x80\x99s 1st COVID-19 Vaccine Candidate \xe2\x80\x98Covaxin\xe2\x80\x99 Gets Nod For Human Clinical\xc2\xa0Trials https://t.co/Agk1EOMbaf',[],
2020-06-30 18:15:35,b'https://t.co/8w49TpGhx6   Shared by Indian Express android app.  Click here to download  https://t.co/heSnVpVatx',[],
2020-06-30 18:14:19,"b'Maharashtra COVID-19 update New cases: 4,878 Deaths: 245 Total cases: 1,74,761 Death toll: 7,855 Recovered: 90,911 Active cases: 75,995 People tested so far: 9,66,723  . . . https://t.co/jkQ1PlceIv  #COVID19India #COVID #COVID19Update #CoronavirusInIndia'","['COVID19India', 'COVID', 'COVID19Update', 'CoronavirusInIndia']",
2020-06-30 18:13:23,"b""COVID-19 UPDATE | India's First Vaccine Candidate Gets Regulatory Nod Fo... https://t.co/5k1rIA1P14 via @YouTube""",[],
2020-06-30 18:13:09,"b'Maharashtra COVID-19 tally up by 4,878, death toll 7,855 . . . https://t.co/tgaboBqf3o  #COVID19India #COVID #COVID19Update #CoronavirusInIndia'","['COVID19India', 'COVID', 'COVID19Update', 'CoronavirusInIndia']",
2020-06-30 18:10:22,"b'First COVID-19 vaccine candidate COVAXIN from India, gets DCGI approval for human\xc2\xa0trials https://t.co/W59H5aB4zz'",[],
2020-06-30 18:09:42,"b'The Indian Express: Explained: What is Covaxin, India\xe2\x80\x99s Covid-19 vaccine candidate; how long before approval?. https://t.co/0n9glg1cdh  via @GoogleNews'",[],
2020-06-30 18:07:10,"b'@MichaelKugelman If China comes up with Covid 19 Vaccine, will India ban it too???...Just an innocent question \xf0\x9f\xa4\x94\xf0\x9f\xa7\x90'",[],
