Time,Tweets,All_hashtags,Place
6/30/2020 19:37,"b'USA TODAY: COVID-19 vaccine still far off, experts say  https://t.co/1kDhrZf4OP'",[],
6/30/2020 19:37,b'Fauci expresses doubts over potential #COVID19 vaccine efficacy in US due to anti-vaxxers #Covid19Vaccine https://t.co/ffRz5PVj1z',"['COVID19', 'Covid19Vaccine']",
6/30/2020 19:37,"b""@lisle_von Because we have some mitigation techniques against the flu (including a vaccine that's hit or miss), which is something we don't have with covid-19. But it may be helpful to wear a mask for the flu, be careful what you wish for!""",[],
6/30/2020 19:36,"b""FYI: Honestly, even if this were true...my ass would be in line for that damn vaccine. PS...it's not true. https://t.co/yDYvUufKvB""",[],
6/30/2020 19:36,"b'Thanks politicians they see that God with Covid 19 and unleashing of locusts is an indication that the Bible is the mirror &amp; key for the future of this world , scientists are just hallucinating about Covid 19 speculations even their attempts to find vaccine.'",[],
6/30/2020 19:36,"b""Anthony Fauci: 'No guarantee' coronavirus vaccine will be ready by early 2021 https://t.co/DVKgAYoQcq""",[],
6/30/2020 19:36,b'Here\xe2\x80\x99s how we\xe2\x80\x99ll know when a #COVID-19 #vaccine is ready https://t.co/I4FUiPD68Y https://t.co/TyN9wKlYoW',"['COVID', 'vaccine']",
6/30/2020 19:35,"b'@SconesNJams @puda_sheilam @Jameslee101 @prinkarey @BeautBoulevards @drcarroll @RepAndyBiggsAZ Oh now, you want to backup from your ""vaccine or bust"" mentality, is the only way forward. So what about those mutated strains that are resistant? Shut down the country every flu season? Wear a gas mask until Covid-19 is eradicated like smallpox? C\'mon, use common sense.'",[],
6/30/2020 19:35,"b'Though only seven of those deaths have been reported in Centre County, officials issued a reminder that nobody is immune from catching COVID-19 \xe2\x81\xa0\xe2\x80\x94 a disease currently without a vaccine (unlike the flu). https://t.co/hcnQA0v0G0'",[],
6/30/2020 19:35,b'Here\xe2\x80\x99s how we\xe2\x80\x99ll know when a COVID-19 vaccine is ready https://t.co/um34SyPKEK',[],
6/30/2020 19:34,"b""COVAXIN\xe2\x84\xa2, India's 1st indigenous Covid-19 vaccine, developed by Bharat Biotech successfully enters human trials.  @ICMRDELHI @DBTIndia @icmr_niv #BharatBiotech #COVAXIN #covid19 #Collaboration #Indiafightscorona #makeinindia #ICMR #coronavirusvaccine https://t.co/VPeHL0jCnq""","['BharatBiotech', 'COVAXIN', 'covid19', 'Collaboration', 'Indiafightscorona', 'makeinindia', 'ICMR', 'coronavirusvaccine']",
6/30/2020 19:33,"b'FDA to Require Proof Virus Vaccine Is Effective Before Approving Its Use. Itt outlined criteria for approving a vaccine, including that any such treatment be at least 50% more effective than a placebo in preventing the disease. https://t.co/lwVOEIvhZT'",[],
6/30/2020 19:33,b'Iran is preparing human tests of a homegrown vaccine for Covid-19 https://t.co/qg4Pc7881i',[],
6/30/2020 19:32,"b""Another reason I'm rooting for China to get to the vaccine first  https://t.co/rufAcUNL4e""",[],
6/30/2020 19:32,b'AstraZeneca &amp; Moderna ahead in COVID-19 vaccine race. #dental #dentistry #health #medicine #dentalcare #dentalhealth #usc #fighton #uscdentistry #uscalumni #focus #execute #dentist #oralhealth #oralcare #smile https://t.co/acrtK0tXb4',"['dental', 'dentistry', 'health', 'medicine', 'dentalcare', 'dentalhealth', 'usc', 'fighton', 'uscdentistry', 'uscalumni', 'focus', 'execute', 'dentist', 'oralhealth', 'oralcare', 'smile']",
6/30/2020 19:32,"b'Our questions: 1) how do you think we can advocate for BIPOC communities to be among the first to receive the COVID-19 vaccine?, and 2) are there studies we can do to support this as a means to reduce disparities? 4/'",[],
6/30/2020 19:32,"b""According to recent news, a subgroup of CDC\xe2\x80\x99s Advisory Committee on Immunization Practices has met to discuss COVID-19 vaccine distribution plans, though I don't believe anything has been announced (plz correct if wrong) https://t.co/LEVrBbJzjM 2/""",[],
6/30/2020 19:32,"b""New York Post : Anthony Fauci: 'No guarantee' coronavirus vaccine will be ready by early 2021. https://t.co/TgOqL8voO9  via @GoogleNews""",[],
6/30/2020 19:32,"b'The United States cant count on availability of safe effective #COVID__19 #vaccine, govt\xe2\x80\x99s top infectious diseases expert warned that the daily surge in cases could more than double if Americans fail to take steps to get #virus under control https://t.co/qmK4XS8QWg #coronavirus'","['COVID__19', 'vaccine', 'virus', 'coronavirus']",
6/30/2020 19:32,b'@Ernestoalexan @NateSilver538 Human challenge trials with live coronavirus aren\xe2\x80\x99t the answer to a Covid-19 vaccine https://t.co/vP7ipyhjkQ',[],
6/30/2020 19:31,"b""Fauci says no guarantee U.S. will have effective COVID-19 vaccine, warns spread 'could get very bad' https://t.co/EZ62Pvzt4K""",[],
6/30/2020 19:31,"b""@Jeremy_Hunt  https://t.co/z4VsJnXjwl  This report &amp; interview @thismorning may dash your hopes of the eventual production of a COVID-19 vaccine;  High hopes' drug Remdesivir for Covid-19 treatment failed in full trial                             https://t.co/pv6fN87J1c""",[],
6/30/2020 19:31,"b""Anthony Fauci: 'No guarantee' coronavirus vaccine will be ready by early 2021 https://t.co/lj1GupvxHa via @nypost""",[],
6/30/2020 19:31,"b""Anthony Fauci: 'No guarantee' coronavirus vaccine will be ready by early 2021 https://t.co/MTwfH6q34r via @nypost""",[],
