Time,Tweets,All_hashtags,Place
2020-07-01 16:45:36,"b'Good to hear!! With the collaboration of ICMR, National Institute of virology &amp; Bharat biotech company, India has developed a vaccine i.e, \xe2\x80\x98Covaxin\xe2\x80\x99 against covid-19 and is under human trial. Expecting the best in all ways...'",[],
2020-07-01 16:32:48,"b'COVID-19 Update India July 1, 2020  Deaths - 17,400 | Active cases - 220,114 | Cured - 347,978 Tested samples till 30 June - 88,26,585  Source - MoHFW and ICMR  #covid19 #IndiaFightsCorona #India https://t.co/a3aHQY2bog'","['covid19', 'IndiaFightsCorona', 'India']",
2020-07-01 16:12:20,b'@LuckyInvest_AK   govt bow to your demand https://t.co/hmcryzo2KI',[],
2020-07-01 16:08:24,b'COVID  RTPCR Testing. Unlocked. Must be a great relief for many. Nationwide. Better Late than Never. #Democracy . #FundamentalRights.  https://t.co/tgHbnF986d',"['Democracy', 'FundamentalRights']",
2020-07-01 15:55:48,"b""The lack of clarity, transparency &amp; accountability has been a feature of the Modi govt's COVID response and nothing exemplifies the official attitude more than the ICMR's conduct.   This is the subject of an Editorial in @thewire_in/@thewirescience today  https://t.co/3LB5ZQNDtq""",[],
2020-07-01 15:46:15,"b""#COVAXIN  COVAXIN\xe2\x84\xa2, India's 1st indigenous Covid-19 vaccine, developed by Bharat Biotech successfully enters human trials.   @ICMRDELHI  @DBTIndia @icmr_niv   #BharatBiotech #COVAXIN #covid19 #Collaboration #Indiafightscorona #makeinindia #ICMR #coronavirusvaccine https://t.co/MKuxIZgkF6""","['COVAXIN', 'BharatBiotech', 'COVAXIN', 'covid19', 'Collaboration', 'Indiafightscorona', 'makeinindia', 'ICMR', 'coronavirusvaccine']",
2020-07-01 15:39:49,"b""#ICMR Must Decide if it Is India's Council for Medical Research or its Master\xe2\x80\x99s Voice.  (via @Pocket)   #covid19 #IndiaFightsCorona  https://t.co/BYDhhkfzM2 https://t.co/dW9jSXhWLT""","['ICMR', 'covid19', 'IndiaFightsCorona']",
2020-07-01 15:31:43,"b""Congrats Shri Krishna M Ella. CMD, Bharat Biotech, Smt Suchithra Krishna M Ella for developed India's first vaccine Covexin for Covid -19 with ICMR, NIV and CDSCO. We are proud of the couple for related with Chinnavarikam... Vellore district. https://t.co/mzwTEh958V""",[],
2020-07-01 15:27:12,"b'https://t.co/qt4WiG7065 We are not in a pandemic https://t.co/2T1JBTbXvf The Corona virus was a man made pathogen, that killed 8.4 million Chinese people before Chinese medics applied High Intensity UltraSound for \xc2\xbd minute to each side of a Corona/C19 patients chest.'",[],
2020-07-01 15:25:08,"b""#ICMR Must Decide if it Is India's Council for Medical Research or its Master\xe2\x80\x99s Voice https://t.co/PdlJ0IfxkC via @thewire_in""",['ICMR'],
2020-07-01 15:18:14,"b'COVID-19 testing: Doctor\xe2\x80\x98s prescription should not be mandatory, ICMR suggests https://t.co/AjuHeFVrTj'",[],
