Time,Tweets,All_hashtags,Place
2020-07-01 16:52:34,"b'@LoriSuzy_Q @ImabitcSumtimes I wonder how many dems, including Pelosi have been taking Hydroxychloroquine as a preventative measure against Covid-19???'",[],
2020-07-01 16:51:06,b'The FDA recently revoked emergency authorizations that allowed the drug to be used as a COVID-19 treatment. What you should know: https://t.co/SU0CVL4qZA',[],
2020-07-01 16:50:00,b'Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial : https://t.co/vqKtc719w3  #clinicaltrials #clinicaltrialssupport #clinicalresearch #research #drug #clinicaltrialsnews #oncology #pharma #pharmaceutical #biotech https://t.co/coCN1qdCUZ',"['clinicaltrials', 'clinicaltrialssupport', 'clinicalresearch', 'research', 'drug', 'clinicaltrialsnews', 'oncology', 'pharma', 'pharmaceutical', 'biotech']",
2020-07-01 16:47:15,"b'The medical and scientific communities are starting to turn on the ""experts"" who deemed hydroxychloroquine to be more dangerous than COVID-19 itself. This letter to the European Journal of Internal Medicine is spot-on. https://t.co/WsTo5IpyI1'",[],
2020-07-01 16:46:32,b'The Media Sabotage of Hydroxychloroquine Use for COVID-19: Doctors Worldwide Protest the Disaster https://t.co/kaWGFy0uJW',[],
2020-07-01 16:45:04,b'@IngrahamAngle Ms  Sarcasm Drug Pusher #Hydroxychloroquine   summer love  summer camp  How about SUMMER  #Covid_19  COVER UP \xf0\x9f\x98\xb7 #Treason #TrumpVirusCatastrophe  #RepublicansAreDestroyingAmerica  #QuidProQuoTrump Russia  #TrumpSoldUsOut  #TrumpKnewAndDidNothing   whats in your bank account\xf0\x9f\xa4\x94',"['Hydroxychloroquine', 'Covid_19', 'Treason', 'TrumpVirusCatastrophe', 'RepublicansAreDestroyingAmerica', 'QuidProQuoTrump', 'TrumpSoldUsOut', 'TrumpKnewAndDidNothing']",
2020-07-01 16:44:11,b'Moving on from hydroxychloroquine...US buys up world stock of key Covid-19 drug remdesivir  https://t.co/wdfR4FxT9F',[],
2020-07-01 16:43:14,b'I alway knew our @realDonaldTrump was correct. I always and forever will believe and trust our POTUS https://t.co/lpS6VdQuQR',[],
2020-07-01 16:43:07,b'The Media Sabotage of Hydroxychloroquine Use for COVID-19: Doctors Worldwide Protest the Disaster https://t.co/nCHIAvJERg via @grtvnews',[],
2020-07-01 16:32:04,b'Hydroxychloroquine not protective in those with SLE https://t.co/CNg3hBfWvc',[],
2020-07-01 16:31:26,b'How many deaths were these researchers going to allow to continue before they would have stopped the study themselves? Almost 400 people in the HCQ arm and more than 700 people in the control arm died and the study still planned to continue?  https://t.co/5igLuy78l2',[],
2020-07-01 16:30:39,b'The Media Sabotage of Hydroxychloroquine Use for COVID-19: Doctors Worldwide Protest the Disaster - Global Research https://t.co/777YlpEJJ6',[],
2020-07-01 16:29:44,"b'Ivermectin and Doxycycline combination was superior to the use of Hydroxychloroquine and Azithromycin therapy in the case of mild to moderate degree of COVID-19 patients. However, both treatment regimens were effective according this study. https://t.co/dh5LbHFrGP'",[],
2020-07-01 16:23:18,b'A study has revealed that healthcare workers are less prone to contracting #Coronavirus if they have adequate PPE kits.   #Hydroxychloroquine #HCQ #PPE #Covid_19  https://t.co/443fLkRWsZ',"['Coronavirus', 'Hydroxychloroquine', 'HCQ', 'PPE', 'Covid_19']",
2020-07-01 16:21:13,b'@EricTrump How many days since your daddy was promoting hydroxychloroquine as a miracle cure for Covid-19? https://t.co/cRdI2G33Av',[],
2020-07-01 16:16:47,b'COVID-19: Global COVID-19 prevention trial of hydroxychloroquine to resume https://t.co/XNm3R5ENFy',[],
2020-07-01 16:16:45,"b'@Independent ""After several studies finding it had no significant beneficial effects, the FDA effectively ruled it out for use on Covid-19 patients.""  You forgot to say those studies were fraudulent  #panicdemic #propaganda   https://t.co/nXkRqBEsGY'","['panicdemic', 'propaganda']",
2020-07-01 16:04:19,"b'COVID-19 Treatments liberals push  medesivir 2 defeat Trump in the election. Hydroxychloroquine works as a prophylaxis which means people would attend Trump rallies,church,vote.  50 studies shoe its efficacy \xe2\x81\xa6@parscale\xe2\x81\xa9 \xe2\x81\xa6@Scavino45\xe2\x81\xa9  https://t.co/fdV0aujlZv'",[],
2020-07-01 15:59:47,b'The Media Sabotage of Hydroxychloroquine Use for COVID-19: Doctors Worldwide Protest the Disaster https://t.co/ymwDJlBKp1 via @grtvnews',[],
2020-07-01 15:57:02,b'Hydroxychloroquine testing starts up again.  About time!  https://t.co/7HAGautsfN',[],
2020-07-01 15:54:22,b'Pharmalittle: Five Covid-19 vaccine makers chosen for Warp Speed project; Moderna CEO defends data... https://t.co/FFtMssUekt via @statnews',[],
2020-07-01 15:53:37,"b'Fascinating relationship of countries that use hydroxychloroquine (cheap and old treatment for Malaria) and their respective national mortality rates from Covid19.  In red are the nations that do not use it. The green, do. Belarus has no spooky COVID-19 protocols. #Covid1984 https://t.co/F2Qi8ySIh6'",['Covid1984'],
2020-07-01 15:50:54,"b'@Le___Doc Recommandations du 16 juin. ""The Panel recommends remdesivir for treatment of COVID-19""...""The Panel recommends against the use of chloroquine or hydroxychloroquine"" https://t.co/EsKdcHj7B8'",[],
2020-07-01 15:46:28,"b'If we fought World War II the way we\'re fighting COVID-19 under ""wartime"" @realDonaldTrump -- insanity like inject bleach, take hydroxychloroquine, don\'t bother with masks - and states all running their own uncoordinated plans, we\'d all be speaking German or Japanese -- or both.'",[],
